Proses_Bisnis,No,Kelompok_Aktivitas,Pelaksana,Input,Aktivitas,Output,Penerima_Output,Simbol_BPMN
Pelayanan Kesehatan Bayi dan Balita (0-59 Bulan & Apras),1,Pemicu Proses,Orang Tua / Pengasuh,Kebutuhan pemantauan tumbuh kembang balita; jadwal hari buka Posyandu,Membawa bayi/balita ke posyandu pada hari pelayanan,Pemberitahuan kehadiran balita,Kader Pendaftaran,Start Event
Pelayanan Kesehatan Bayi dan Balita (0-59 Bulan & Apras),2,Administratif,Kader Pendaftaran,Kartu QR balita / Nama balita / Tanggal lahir,Melakukan identifikasi dan verifikasi data balita pada sistem Portal Nyawiji (scan QR atau pencarian cepat nama),Data balita terverifikasi di sistem; status pendaftaran aktif,Kader Penimbangan,Task
Pelayanan Kesehatan Bayi dan Balita (0-59 Bulan & Apras),3,Pengumpulan Data,Kader Penimbangan & Pengukuran,Timbangan dacin/digital; baby length board / stadiometer; pita lila; pita lingkar kepala,Melakukan penimbangan BB; pengukuran PB/TB (posisi telentang untuk <24 bln atau berdiri untuk >=24 bln); pengukuran lingkar kepala; pengukuran LiLA,Data pengukuran fisik balita tercatat,Kader Pencatatan,Task
Pelayanan Kesehatan Bayi dan Balita (0-59 Bulan & Apras),4,Pemeriksaan,Kader Pencatatan,Data pengukuran fisik; status pemberian ASI; gejala batuk/demam,Melakukan input data hasil ukur ke tab Input Hari Ini; mencatat status ASI eksklusif (khusus 0-5 bln); melakukan skrining risiko TB,Data terinput lengkap ke sistem digital,Sistem Portal Nyawiji,Task
Pelayanan Kesehatan Bayi dan Balita (0-59 Bulan & Apras),5,Telaah/Analisis,Sistem Portal Nyawiji,Data BB; PB/TB; umur hari/bulan; posisi ukur; riwayat BB bulan lalu,Memproses otomatis koreksi tinggi (+-0.7 cm); menghitung Z-score Permenkes 2/2020 (BB/U; TB/U; BB/TB; IMT/U); menghitung status KMS N/T dan deteksi 2T,Status gizi balita terhitung; indikator 2T/N/T aktif,Tenaga Kesehatan / Bidan Desa,Task
Pelayanan Kesehatan Bayi dan Balita (0-59 Bulan & Apras),6,Keputusan,Tenaga Kesehatan / Bidan Desa,Hasil status Z-score; badge peringatan 2T; status skrining TB,Menentukan status kesehatan dan klasifikasi tindak lanjut (Kondisi Normal vs Perlu Rujukan/Intervensi),Keputusan tindak lanjut klinis,Branching Logic,Gateway
Pelayanan Kesehatan Bayi dan Balita (0-59 Bulan & Apras),7,Koordinasi,Tenaga Kesehatan & Kader,Keputusan rujukan (jika 2T / gizi buruk / stunting / TB berisiko),Melakukan tata laksana rujukan medis terpadu ke Puskesmas dan konseling intensif gizi anak,Surat rujukan medis Puskesmas; form intervensi balita berisiko,Puskesmas & Orang Tua,Sub Process
Pelayanan Kesehatan Bayi dan Balita (0-59 Bulan & Apras),8,Distribusi,Tenaga Kesehatan & Kader,Status gizi normal / sehat; jadwal imunisasi & vitamin,Memberikan PMT penyuluhan; vitamin A; kapsul cacing; imunisasi dasar lengkap; serta edukasi MP-ASI kaya protein hewani,Layanan preventif diterima; balita tervaksinasi,Orang Tua & Balita,Task
Pelayanan Kesehatan Bayi dan Balita (0-59 Bulan & Apras),9,Penyimpanan Data,Sistem Portal Nyawiji,Data sesi terinput lengkap (BB, TB, Z-score, catatan),Menyimpan catatan pengukuran ke basis data server secara otomatis (autosave) dan memperbarui kurva KMS digital,Rekam medis digital balita terbarukan,Database Posyandu,Data Store
Pelayanan Kesehatan Bayi dan Balita (0-59 Bulan & Apras),10,Penutupan,Kader Posyandu,Data tersimpan lengkap; status sesi selesai,Memberikan kartu QR (bagi pasien baru) / mencatat buku KIA fisik; menyampaikan jadwal posyandu bulan berikutnya,Orang tua memahami perkembangan anak dan menerima jadwal sesi berikutnya,Orang Tua / Pengasuh,End Event
